n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
120,3,0,8,42,50,162.1652,41,1061,7.0203,1681,10.0847,1609
120,3,0,9,42,51,124.6775,41,989,8.0638,1622,10.8811,1544
120,3,1,0,43,42,163.3413,40,382,6.9828,799,10.0789,671
120,3,1,1,43,43,145.4657,40,395,11.2072,800,10.0805,647
120,3,1,2,43,44,133.3064,40,421,8.7345,803,11.0027,678
120,3,1,3,43,45,131.6245,40,370,11.2172,720,10.0844,607
120,3,1,4,43,46,188.5112,40,370,8.0025,773,10.9733,637
120,3,1,5,43,47,128.6669,40,391,10.824,787,10.0804,668
120,3,1,6,43,48,163.9147,40,367,7.0772,787,10.9881,672
120,3,1,7,43,49,172.8685,40,399,7.0279,831,10.0696,669
120,3,1,8,43,50,165.0773,40,392,13.2754,784,10.0828,690
120,3,1,9,43,51,126.7271,40,387,4.9641,888,10.0858,662
120,3,2,0,44,42,139.7917,40,1262,8.7814,1507,10.0873,1450
120,3,2,1,44,43,124.3805,40,1303,6.6115,1513,10.083,1546
120,3,2,2,44,44,138.8831,40,1262,8.995,1699,10.078,1650
120,3,2,3,44,45,131.1775,40,1253,6.5039,1567,11.1075,1548
120,3,2,4,44,46,121.3035,40,1279,7.2237,1593,11.0413,1565
120,3,2,5,44,47,161.6889,40,1293,6.9038,1557,10.0783,1475
120,3,2,6,44,48,193.877,40,1184,7.3384,1524,10.067,1486
120,3,2,7,44,49,115.1684,40,1244,6.7522,1473,10.0709,1394
120,3,2,8,44,50,146.782,40,1260,7.9314,1709,10.0749,1691
120,3,2,9,44,51,151.4561,40,1239,9.5388,1500,10.0732,1504
120,3,3,0,45,42,130.6307,42,1209,7.6395,1445,10.0809,1361
120,3,3,1,45,43,120.6142,42,1243,9.9939,1474,10.6947,1336
120,3,3,2,45,44,131.8162,42,1200,10.6221,1643,10.9382,1566
120,3,3,3,45,45,141.4264,42,1215,8.2643,1654,10.0861,1596
120,3,3,4,45,46,124.5399,42,1246,7.2094,1503,10.0663,1423
120,3,3,5,45,47,134.4103,42,1222,7.7765,1395,10.5365,1291
120,3,3,6,45,48,101.8937,42,1260,9.5157,1620,10.0817,1601
120,3,3,7,45,49,143.2206,42,1221,8.8405,1639,10.0677,1548
120,3,3,8,45,50,130.8631,42,1173,8.656,1513,10.0884,1409
120,3,3,9,45,51,114.5194,42,1267,8.3011,1614,10.0648,1557
120,3,4,0,46,42,138.1375,35,853,6.491,1101,10.076,1021
120,3,4,1,46,43,121.0133,34,1175,7.8798,1485,10.0834,1410
120,3,4,2,46,44,82.6254,34,1585,7.4081,1376,10.0778,1355
120,3,4,3,46,45,160.7217,34,1134,7.1493,1342,10.0739,1314
120,3,4,4,46,46,68.9442,34,1612,6.655,1261,10.0845,1207
120,3,4,5,46,47,40.2683,35,1481,5.9948,1460,11.0015,1390
120,3,4,6,46,48,115.3771,34,1179,6.1254,1236,11.0675,1183
120,3,4,7,46,49,166.5032,34,1268,5.3048,1340,10.8213,1267
120,3,4,8,46,50,157.9732,34,1173,7.0229,1406,10.0765,1313
120,3,4,9,46,51,136.0083,34,1137,6.0129,1467,10.8198,1389
120,6,0,0,42,42,108.332,44,978,9.1616,1153,10.0765,1125
120,6,0,1,42,43,121.4165,44,934,8.4449,1087,10.6252,1024
120,6,0,2,42,44,138.432,44,944,10.5664,1111,10.8316,1047
120,6,0,3,42,45,122.229,44,945,7.7996,1120,10.0819,1034
120,6,0,4,42,46,127.7111,44,977,9.8449,1086,10.0741,1090
120,6,0,5,42,47,140.4307,44,967,9.0614,1129,11.297,1047
120,6,0,6,42,48,153.7236,44,954,8.4903,1095,10.0853,1045
120,6,0,7,42,49,131.1889,44,952,9.0505,1056,10.0743,1027
120,6,0,8,42,50,126.302,44,962,8.5117,1090,10.0833,1151
120,6,0,9,42,51,132.1099,44,934,10.0158,1127,10.0891,1067
120,6,1,0,43,42,155.5074,41,731,6.9887,897,10.0724,831
120,6,1,1,43,43,96.1007,41,733,8.7161,928,11.0393,840
120,6,1,2,43,44,109.5039,41,741,8.1052,913,10.9687,880
120,6,1,3,43,45,157.6376,41,733,8.9412,922,10.0771,837
120,6,1,4,43,46,116.2978,41,728,8.2052,889,10.0813,887
120,6,1,5,43,47,138.9146,41,726,9.3932,908,10.083,867
120,6,1,6,43,48,106.1096,41,753,7.8035,910,10.0848,850
120,6,1,7,43,49,106.0668,41,743,6.4242,934,10.0784,901
120,6,1,8,43,50,130.9421,41,731,6.6046,904,10.9858,827
120,6,1,9,43,51,118.6838,41,726,8.1762,899,10.0791,868
120,6,2,0,44,42,192.8839,45,873,10.0801,1217,10.966,1191
120,6,2,1,44,43,168.0863,45,882,5.6199,1361,10.0592,1172
120,6,2,2,44,44,165.0539,45,855,10.5613,1244,10.0629,1183
120,6,2,3,44,45,149.3825,45,882,9.1585,1265,11.2161,1152
120,6,2,4,44,46,168.3832,45,873,9.2392,1279,10.8424,1182
120,6,2,5,44,47,133.7492,45,881,9.7799,1262,10.0738,1140
120,6,2,6,44,48,186.3281,45,871,7.2057,1352,10.0691,1152
120,6,2,7,44,49,136.7554,45,869,8.8022,1325,10.0785,1228
120,6,2,8,44,50,214.5933,45,892,12.5162,1259,10.0837,1168
120,6,2,9,44,51,143.7974,45,856,10.0102,1239,10.0791,1181
120,6,3,0,45,42,199.2818,42,1364,8.2463,1415,11.0238,1344
120,6,3,1,45,43,141.9447,42,1406,6.0731,1475,10.08,1395
120,6,3,2,45,44,202.6234,42,1369,8.9437,1400,10.0826,1421
120,6,3,3,45,45,170.03,42,1363,8.148,1466,11.1332,1377
120,6,3,4,45,46,141.1097,42,1389,8.7188,1329,11.5341,1335
120,6,3,5,45,47,46.129,42,1707,10.0788,1534,11.0851,1469
120,6,3,6,45,48,142.8142,42,1371,9.6788,1350,10.062,1311
120,6,3,7,45,49,162.5297,42,1356,8.4497,1454,10.0701,1340
120,6,3,8,45,50,133.3963,42,1368,12.4261,1370,10.0862,1273
120,6,3,9,45,51,131.1252,42,1368,8.5844,1453,10.0746,1371
120,6,4,0,46,42,112.0634,37,1527,5.8975,1479,11.5559,1423
120,6,4,1,46,43,141.9301,37,1520,7.3035,1450,10.0792,1421
120,6,4,2,46,44,130.3693,37,1511,5.752,1499,11.1617,1444
120,6,4,3,46,45,157.1932,37,1515,7.139,1510,10.7632,1425
120,6,4,4,46,46,129.12,37,1520,4.4743,1513,10.0839,1425
120,6,4,5,46,47,108.8187,37,1555,6.0394,1485,11.1536,1419
120,6,4,6,46,48,114.0091,37,1542,6.6216,1467,10.9454,1429
120,6,4,7,46,49,127.9446,37,1515,4.7077,1512,10.0763,1426
120,6,4,8,46,50,141.46,37,1508,8.1638,1486,10.0882,1424
120,6,4,9,46,51,107.4745,37,1541,9.3674,1481,11.0524,1450
