n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
120,3,3,4,45,46,159.2317,42,2591,9.22,1396,11.2934,1254
120,3,3,5,45,47,137.7421,42,2698,8.1379,1555,10.0821,1467
120,3,3,6,45,48,105.9677,42,2807,7.611,1621,10.0799,1494
120,3,3,7,45,49,153.6756,42,2683,7.0425,1616,11.1244,1590
120,3,3,8,45,50,106.9592,42,2708,8.7705,1563,11.2702,1464
120,3,3,9,45,51,122.041,42,2755,9.2657,1547,10.078,1462
120,3,4,0,46,42,142.6291,34,2545,6.5435,1160,11.4927,1138
120,3,4,1,46,43,86.5692,34,3674,5.1564,1399,11.4152,1384
120,3,4,2,46,44,33.1004,35,3588,6.9617,1486,10.0741,1451
120,3,4,3,46,45,108.0596,34,3786,8.2106,1497,10.0748,1448
120,3,4,4,46,46,92.3012,34,4095,6.4369,1319,10.0735,1293
120,3,4,5,46,47,146.6471,34,2667,7.4062,1194,10.0845,1168
120,3,4,6,46,48,126.1499,34,2680,5.6443,1299,10.0759,1229
120,3,4,7,46,49,126.2839,35,2143,5.1138,1133,10.0784,1086
120,3,4,8,46,50,36.5472,35,3293,7.9329,1398,10.0571,1364
120,3,4,9,46,51,83.7715,35,2841,9.5297,1316,10.061,1272
120,6,0,0,42,42,117.9704,44,2199,11.4962,1225,10.1015,1214
120,6,0,1,42,43,153.9801,44,2161,7.9802,1190,10.0765,1222
120,6,0,2,42,44,161.3596,44,2215,7.9662,1196,10.0754,1156
120,6,0,3,42,45,119.899,44,2170,8.7026,1187,10.0632,1240
120,6,0,4,42,46,92.5352,44,2221,8.0651,1149,11.8377,1158
120,6,0,5,42,47,163.7376,44,2212,8.5011,1205,10.0679,1192
120,6,0,6,42,48,136.4071,44,2213,8.528,1202,10.0845,1193
120,6,0,7,42,49,124.9636,44,2209,11.7833,1214,10.0775,1131
120,6,0,8,42,50,109.7704,44,2203,8.6916,1205,10.0719,1246
120,6,0,9,42,51,96.7521,44,2224,6.8553,1172,10.0886,1132
120,6,1,0,43,42,89.3468,41,1568,7.0303,883,10.0723,830
120,6,1,1,43,43,149.9614,41,1579,6.5382,918,10.083,848
120,6,1,2,43,44,109.1191,41,1540,9.9993,870,10.0796,823
120,6,1,3,43,45,110.3605,41,1636,6.4799,944,10.0814,822
120,6,1,4,43,46,87.1293,41,1621,10.2078,927,10.0793,858
120,6,1,5,43,47,134.1703,41,1547,8.5673,908,10.0899,828
120,6,1,6,43,48,117.9108,41,1630,5.9045,908,10.0857,833
120,6,1,7,43,49,43.2419,41,1846,6.3268,883,10.0841,815
120,6,1,8,43,50,97.7469,41,1619,7.6115,881,10.082,776
120,6,1,9,43,51,112.8483,41,1620,8.5062,912,10.0809,838
120,6,2,0,44,42,162.958,45,1890,6.9925,1396,10.074,1229
120,6,2,1,44,43,176.5297,45,1893,6.2489,1440,10.0864,1232
120,6,2,2,44,44,149.7495,45,1868,6.353,1447,10.0868,1208
120,6,2,3,44,45,88.9031,45,2077,10.3934,1309,10.0807,1194
120,6,2,4,44,46,169.3593,45,1921,9.573,1194,10.078,1152
120,6,2,5,44,47,129.0902,45,1850,11.6742,1350,10.0871,1254
120,6,2,6,44,48,35.796,45,2449,11.0735,1290,10.0782,1178
120,6,2,7,44,49,126.8412,45,1935,9.4865,1325,10.0805,1324
120,6,2,8,44,50,176.2125,45,1877,12.0413,1337,10.0872,1267
120,6,2,9,44,51,172.0497,45,1849,8.187,1331,10.0747,1193
120,6,3,0,45,42,46.0762,42,3494,9.2698,1635,10.0839,1564
120,6,3,1,45,43,122.1696,42,2789,8.7989,1327,10.0859,1296
120,6,3,2,45,44,134.1969,42,2837,10.7601,1399,10.0758,1361
120,6,3,3,45,45,42.2026,42,3450,9.0682,1459,10.075,1403
120,6,3,4,45,46,52.7239,42,3282,8.8584,1567,10.0799,1489
120,6,3,5,45,47,174.644,42,2843,7.4535,1424,10.0702,1413
120,6,3,6,45,48,143.5299,42,2821,10.7531,1398,10.0919,1374
