n_of_job,n_of_family,problem,iteration,seed1,seed2,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,RKGA_P2_time,RKGA_P2_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,BRKGA_P2_time,BRKGA_P2_fitness,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,6,4,1,46,43,2.6328,10,127,0.6111,127,2.6211,10,127,0.5988,127,2.7712,10,127,0.6128,127,0.7735,127
30,6,4,2,46,44,2.6782,10,130,0.6418,125,3.0016,10,127,0.6126,127,6.1948,10,127,0.6297,127,0.7582,127
30,6,4,3,46,45,5.2463,10,127,0.5653,127,3.0054,10,127,0.6254,127,3.2315,10,127,0.6023,127,0.7404,127
30,6,4,4,46,46,2.7486,10,130,0.6247,125,3.9574,10,127,0.6211,127,3.0185,10,127,0.6234,127,0.7822,127
30,6,4,5,46,47,2.8771,10,127,0.5721,127,7.6463,10,127,0.5946,127,3.2439,10,127,0.6391,127,0.6725,127
30,6,4,6,46,48,3.3547,10,127,0.5574,127,3.7197,10,127,0.5862,127,4.5534,10,127,0.6064,127,0.7461,127
30,6,4,7,46,49,2.912,10,127,0.5791,127,2.8344,10,127,0.5945,127,7.6066,10,127,0.6413,127,0.779,127
30,6,4,8,46,50,4.9361,10,127,0.577,127,2.7021,10,130,0.6732,125,3.1145,10,127,0.6247,127,0.8052,127
30,6,4,9,46,51,3.3726,10,127,0.5954,127,2.6607,10,130,0.6506,125,3.6767,10,127,0.6111,127,0.7705,127
60,3,0,0,42,42,53.5225,25,464,2.9984,403,30.5426,25,451,2.559,416,29.4018,25,455,1.9315,400,10.0754,410
60,3,0,1,42,43,25.9703,25,517,3.9835,425,32.3771,25,460,1.953,427,32.9744,25,442,2.1403,380,10.0688,394
60,3,0,2,42,44,39.4526,25,471,5.898,403,30.2859,25,455,2.0902,419,39.9011,25,437,5.6444,403,10.064,395
60,3,0,3,42,45,16.1451,25,518,3.6679,414,35.0622,25,441,5.1091,401,41.3019,25,447,2.2351,407,10.0745,400
60,3,0,4,42,46,38.7014,25,467,3.9388,400,45.6012,25,427,2.3787,387,33.646,25,451,2.0702,418,10.0643,420
60,3,0,5,42,47,47.5681,25,467,4.6819,406,31.6926,25,446,2.0285,398,30.6734,25,431,1.9825,404,13.2731,416
60,3,0,6,42,48,37.5002,25,489,3.4662,388,27.7727,25,451,1.9832,413,37.5782,25,445,2.7295,385,10.076,382
60,3,0,7,42,49,32.4648,25,490,3.1549,413,42.5872,25,427,3.0302,383,35.4866,25,455,2.7163,405,13.5018,406
60,3,0,8,42,50,26.3335,25,501,3.2686,439,35.928,25,446,2.0198,403,36.7051,25,451,2.5879,418,10.0679,415
60,3,0,9,42,51,28.8438,25,500,3.9648,402,43.4941,25,442,2.0472,384,46.1202,25,427,2.0469,381,10.069,384
60,3,1,0,43,42,26.0125,21,209,3.0296,193,29.6463,21,200,1.7697,174,11.7637,21,211,2.0728,190,10.0696,179
60,3,1,1,43,43,36.7667,21,207,1.812,172,24.6169,21,208,1.9533,184,33.9991,21,193,2.0387,182,10.0801,179
60,3,1,2,43,44,16.8217,21,204,4.6738,189,36.6729,21,196,1.5021,193,20.8074,21,205,1.9823,187,10.0616,180
60,3,1,3,43,45,30.7706,21,203,3.8251,183,43.9621,21,188,1.1908,186,22.3524,21,203,0.9139,203,10.0748,197
60,3,1,4,43,46,17.2673,21,212,3.3703,198,16.0409,21,207,1.9463,181,48.7085,21,188,1.8488,181,10.0711,180
60,3,1,5,43,47,24.1419,21,207,3.9759,190,18.6398,21,201,1.6647,192,35.5319,21,187,1.8265,176,13.4783,169
60,3,1,6,43,48,15.6707,21,218,1.8258,205,25.3792,21,203,1.5826,193,18.5342,21,206,1.8462,199,10.079,188
60,3,1,7,43,49,20.15,21,209,5.7734,183,39.2931,21,191,1.327,182,40.5418,21,189,1.4539,185,10.0738,174
60,3,1,8,43,50,23.6712,21,204,2.0892,182,29.3086,21,196,1.6743,180,14.7019,21,199,2.1383,184,13.5436,181
60,3,1,9,43,51,32.167,21,204,2.5667,184,31.1353,21,187,1.8411,181,44.2382,21,188,2.2225,183,10.0725,172
60,3,2,0,44,42,20.4909,21,428,2.6714,369,14.4028,21,418,2.3961,364,47.5829,21,352,1.612,343,14.0269,341
60,3,2,1,44,43,22.8927,21,434,2.8059,397,38.9179,21,365,1.9773,343,45.9202,21,361,1.5873,345,10.0803,346
60,3,2,2,44,44,27.5749,21,438,2.7662,388,38.612,21,379,1.5789,352,43.1059,21,354,1.979,331,10.0668,334
60,3,2,3,44,45,23.5248,21,432,2.1517,384,44.0617,21,370,1.3655,355,39.8195,21,366,2.3392,359,12.2841,363
60,3,2,4,44,46,29.2996,21,417,3.6137,361,33.8915,21,357,1.9054,341,38.8966,21,371,1.761,356,10.085,360
60,3,2,5,44,47,17.6435,21,449,2.5226,382,29.8281,21,394,1.8693,366,43.4577,21,354,1.3534,344,10.0744,343
60,3,2,6,44,48,19.3066,21,452,2.6029,419,35.7823,21,378,1.7878,355,10.7801,21,446,1.7722,358,12.5899,360
60,3,2,7,44,49,11.4163,21,446,2.1025,393,31.1407,21,359,1.7158,341,35.9404,21,357,1.9329,345,12.8638,341
60,3,2,8,44,50,13.7941,21,445,4.2799,365,44.4731,21,388,1.854,354,48.7355,21,357,1.812,339,10.0799,340
60,3,2,9,44,51,25.1738,21,431,2.173,376,34.3049,21,367,2.3542,348,38.8339,21,357,1.8729,342,10.0795,338
60,3,3,0,45,42,16.0659,26,788,3.251,661,26.0989,26,676,3.5862,568,31.6869,26,692,2.5956,572,10.0575,573
60,3,3,1,45,43,17.9653,26,770,4.4877,682,34.8246,26,695,3.9139,600,44.0755,26,665,2.4579,583,10.0682,579
60,3,3,2,45,44,19.5352,26,758,3.9655,642,54.8714,26,669,3.0566,585,52.5558,26,676,3.4184,565,10.0599,562
